subject,predicate,object,object_type,object_datatype,source,confidence
alan_turing,has_birth_date,1912-06-23,literal,date,课程PPT与百科常识整理,1.0
alan_turing,has_death_date,1954-06-07,literal,date,课程PPT与百科常识整理,1.0
alan_turing,has_nationality,British,literal,string,课程PPT与百科常识整理,1.0
alan_turing,has_alias,艾伦·图灵,literal,string,课程PPT与百科常识整理,1.0
alan_turing,born_in,maida_vale,entity,,课程PPT与百科常识整理,1.0
alan_turing,died_in,wilmslow,entity,,课程PPT与百科常识整理,1.0
alan_turing,studied_at,kings_college_cambridge,entity,,课程PPT与百科常识整理,1.0
alan_turing,studied_at,princeton_university,entity,,课程PPT与百科常识整理,1.0
alan_turing,worked_at,bletchley_park,entity,,课程PPT与百科常识整理,1.0
alan_turing,worked_at,national_physical_laboratory,entity,,课程PPT与百科常识整理,1.0
alan_turing,collaborated_with,joan_clarke,entity,,课程PPT与百科常识整理,0.8
alan_turing,collaborated_with,alonzo_church,entity,,课程PPT与百科常识整理,0.9
alan_turing,authored,on_computable_numbers,entity,,课程PPT与百科常识整理,1.0
alan_turing,authored,computing_machinery_and_intelligence,entity,,课程PPT与百科常识整理,1.0
alan_turing,proposed,turing_machine,entity,,课程PPT与百科常识整理,1.0
alan_turing,proposed,turing_test,entity,,课程PPT与百科常识整理,1.0
alan_turing,designed,automatic_computing_engine,entity,,课程PPT与百科常识整理,1.0
alan_turing,designed,bombe_machine,entity,,课程PPT与百科常识整理,0.9
alan_turing,contributed_to,allied_codebreaking,entity,,课程PPT与百科常识整理,1.0
kings_college_cambridge,located_in,cambridge,entity,,课程PPT与百科常识整理,1.0
princeton_university,located_in,princeton,entity,,课程PPT与百科常识整理,1.0
bletchley_park,located_in,bletchley,entity,,课程PPT与百科常识整理,1.0
national_physical_laboratory,located_in,london,entity,,课程PPT与百科常识整理,1.0
on_computable_numbers,published_in,proceedings_lms,entity,,课程PPT与百科常识整理,1.0
computing_machinery_and_intelligence,published_in,mind_journal,entity,,课程PPT与百科常识整理,1.0
on_computable_numbers,has_year,1936,literal,gYear,课程PPT与百科常识整理,1.0
computing_machinery_and_intelligence,has_year,1950,literal,gYear,课程PPT与百科常识整理,1.0
turing_machine,has_year,1936,literal,gYear,课程PPT与百科常识整理,1.0
turing_test,has_year,1950,literal,gYear,课程PPT与百科常识整理,1.0
automatic_computing_engine,has_alias,ACE,literal,string,课程PPT与百科常识整理,1.0
allied_codebreaking,occurred_at,bletchley_park,entity,,课程PPT与百科常识整理,0.9
allied_codebreaking,targeted_machine,enigma_machine,entity,,课程PPT与百科常识整理,0.9
allied_codebreaking,related_to_field,cryptanalysis,entity,,课程PPT与百科常识整理,1.0
on_computable_numbers,related_to_field,computer_science,entity,,课程PPT与百科常识整理,1.0
on_computable_numbers,related_to_field,mathematical_logic,entity,,课程PPT与百科常识整理,1.0
computing_machinery_and_intelligence,related_to_field,artificial_intelligence,entity,,课程PPT与百科常识整理,1.0
turing_machine,foundation_of,computer_science,entity,,课程PPT与百科常识整理,1.0
turing_test,foundation_of,artificial_intelligence,entity,,课程PPT与百科常识整理,1.0
church_turing_thesis,related_to_field,computer_science,entity,,课程PPT与百科常识整理,0.8
church_turing_thesis,related_to_field,mathematical_logic,entity,,课程PPT与百科常识整理,0.8
bombe_machine,related_to_field,cryptanalysis,entity,,课程PPT与百科常识整理,1.0
automatic_computing_engine,related_to_field,computer_science,entity,,课程PPT与百科常识整理,1.0
